name_code,kingdom,kingdom_c,phylum,phylum_c,class,class_c,order,order_c,family,family_c,genus,genus_c,name,species,infraspecies_marker,infraspecies,infraspecies2_marker,infraspecies2,author,author2,common_name_c,is_alien,is_invasive,is_cultivated,is_endemic,cites_code,iucn_code,coa_code
434633,Animalia,動物界,Chordata,脊索動物門,Mammalia,哺乳綱,Carnivora,食肉目,Felidae,貓科,Felis,,Felis catus,catus,,,,,"Linnaeus, 1758",,貓,1,1,0,,,,
381033,Animalia,動物界,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Cyprinodontiformes,鱂形目,Poeciliidae,花鱂科,Gambusia,,Gambusia affinis,affinis,,,,,"(Baird &amp; Girard, 1853)",,食蚊魚;大肚仔;胎鱂;大肚魚,1,1,0,,,LC,
443093,Animalia,動物界,Chordata,脊索動物門,Reptilia,爬蟲綱,Squamata,有鱗目,Gekkonidae,壁虎科,Gekko,,Gekko gecko,gecko,,,,,"Linnaeus, 1758",,大守宮;大壁虎,1,1,0,,,LC,
Rep-Syn-6954,Animalia,動物界,Chordata,脊索動物門,Reptilia,爬蟲綱,Squamata,有鱗目,Gekkonidae,壁虎科,Gekko,,Gekko monarchus,monarchus,,,,,"(Schlegel, 1836)",,脊斑壁虎,1,1,0,,,,
419417,Animalia,動物界,Chordata,脊索動物門,Aves,鳥綱,Columbiformes,鴿形目,Columbidae,鳩鴿科,Geopelia,,Geopelia striata,striata,,,,,"(Linnaeus, 1766)",,斑馬鳩,1,1,0,,,LC,
395351,Animalia,動物界,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Perciformes,鱸形目,Cichlidae,麗魚科,Geophagus,,Geophagus brasiliensis,brasiliensis,,,,,"(Quoy &amp; Gaimard, 1824)",,巴西珠母麗魚,1,1,0,,,,
316731,Animalia,動物界,Mollusca,軟體動物門,Gastropoda,腹足綱,Stylommatophora,柄眼目,Zonitidae,琥珀蝸牛科,Hawaiia,,Hawaiia minuscula,minuscula,,,,,"(Binney, 1840)",,小琥珀蝸牛,1,1,0,,,,
395635,Animalia,動物界,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Perciformes,鱸形目,Cichlidae,麗魚科,Hemichromis,,Hemichromis bimaculatus,bimaculatus,,,,,"Gill, 1862",,雙斑伴麗魚,1,1,0,,,LC,
381013,Animalia,動物界,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Cypriniformes,鯉形目,Cyprinidae,鯉科,Hypophthalmichthys,,Hypophthalmichthys molitrix,molitrix,,,,,"(Valenciennes, 1844)",,鰱;竹葉鰱;白鰱;白葉仔;鰱仔,1,1,0,,,NT,
380999,Animalia,動物界,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Cypriniformes,鯉形目,Cyprinidae,鯉科,Hypophthalmichthys,,Hypophthalmichthys nobilis,nobilis,,,,,"(Richardson, 1845)",,鱅;黑鰱;大頭鰱;花鰱;胖頭鰱,1,1,0,,,DD,
